obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 5.0, 52619, 1701, 1727, 3704, 3070, 5529, 3315, 1781, NA, NA, NA, 73446,  1*
2, 6.0, 453412, 151854, 21863, 30505, 20880, 31478, 29478, 3334, NA, NA, NA, 742804,  1*
3, 7.0, 259462, 148481, 18846, 37218, 30920, 19502, 11322, 5356, NA, NA, NA, 531107,  1*
4, 8.0, 1130926, 8295, 6271, 5233, 3038, 1528, 2906, 881, 30, 53, NA, 1159078,  1*
5, 9.0, 7098, 4428, 3030, 1489, 6821, 4693, 4415, 945, 41, 47, NA, 32919,  1*
6, 10.0, 104563, 11788, 359, 522, 1420, 1942, 876, 760, 41, 27, NA, 122230,  1*
7, 11.0, 25740, 6798, 2782, 3228, 2338, 3733, 2740, 1182, 44, 37, NA, 48541,  1*
8, 12.0, 3728, 8865, 6285, 3187, 4963, 3116, 3351, 967, 53, 30, NA, 34462,  1*
9, 13.0, 334577, 24204, 1033, 12909, 7994, 23890, 5842, 7366, 54, 38, NA, 417815,  1*
10, 14.0, 35716, 8565, 10485, 4735, 1395, 3087, 4825, 4139, 53, 77, NA, 72947,  1*
11, 15.0, 54784, 8450, 4273, 3127, 1718, 4355, 4841, 1974, 51, 78, NA, 83522,  1*
12, 16.0, 20154, 5712, 1544, 3325, 3105, 4980, 7881, 766, 60, 74, NA, 47467,  1*
13, 17.0, 74901, 14712, 14590, 11083, 5031, 17736, 6995, 5596, 57, 84, NA, 150644,  1*
14, 18.0, 13850, 8655, 2486, 1638, 2020, 5888, 3009, 1844, 69, 64, NA, 39390,  1*
15, 19.0, 40911, 30091, 5872, 5324, 12380, 28500, 15018, 5330, 78, 50, NA, 143426,  1*
16, 20.0, 23018, 26900, 4101, 588, 2081, 2185, 3972, 1446, 60, 38, NA, 64291,  1*
17, 21.0, 141416, 31636, 3765, 8890, 6121, 3382, 3731, 2451, 43, 27, NA, 201392,  1*
18, 22.0, 63509, 12174, 6025, 3665, 2866, 5114, 3785, 1383, 38, 37, NA, 98521,  1*
19, 23.0, 542841, 25619, 25526, 27790, 28162, 40079, 6458, 7739, 35, 54, NA, 704214,  1*
20, 24.0, 34024, 87453, 48312, 19156, 11654, 8188, 4157, 8775, 34, 74, NA, 221719,  1*
21, 25.0, 674721, 75538, 13496, 4502, 9037, 28964, 9022, 4061, 44, 66, NA, 819341,  1*
22, 26.0, 75928, 61165, 10851, 4342, 2248, 5640, 2625, 1514, 35, 54, NA, 164313,  1*
23, 27.0, 205050, 155829, 65339, 11137, 21708, 18505, 12990, 5631, 17, 50, NA, 496189,  1*
24, 28.0, 779282, 140393, 41102, 18384, 21117, 45700, 30113, 28901, 30, 41, NA, 1104992,  1*
25, 29.0, 23696, 5971, 1831, 16620, 3063, 3486, 2255, 977, 24, 69, NA, 57899,  1*
26, 30.0, 6263, 8819, 5593, 1006, 4076, 3353, 1194, 361, 35, 77, NA, 30665,  1*
27, 31.0, 573619, 27421, 30583, 3016, 15391, 25327, 12832, 8863, 50, 80, NA, 697052,  1*
28, 32.0, 19938, 6983, 3327, 1597, 3419, 1957, 1726, 1416, 47, 81, NA, 40363,  1*
29, 33.0, 62241, 72611, 26115, 24951, 15578, 19586, 8223, 3068, 47, 66, NA, 232373,  1*
30, 34.0, 64422, 22003, 4216, 4530, 4329, 3963, 1837, 445, 41, 63, NA, 105745,  1*
31, 35.0, 12319, 5170, 6546, 3443, 5095, 7974, 2044, 634, 44, 64, NA, 43225,  1*
32, 36.0, 5432, 3984, 2407, 5846, 6683, 4590, 1729, 2120, 51, 70, NA, 32791,  1*
33, 37.0, 36128, 20027, 1656, 1323, 2508, 8395, 2770, 649, 60, 50, NA, 73456,  1*
34, 38.0, 112966, 210018, 30388, 39599, 18527, 13369, 19922, 8227, 51, 50, NA, 453016,  1*
35, 39.0, 200345, 16702, 14245, 2434, 13278, 2376, 1581, 4791, 34, 50, NA, 255752,  1*
36, 40.0, 6834, 6845, 5212, 3451, 1770, 2728, 1709, 879, 24, 53, NA, 29428,  1*
37, 41.0, 6675, 18906, 8976, 2432, 4095, 3762, 4339, 1176, 14, 74, NA, 50361,  1*
38, 42.0, 68834, 13522, 22665, 14176, 8080, 19928, 7521, 2504, 34, 84, NA, 157230,  1*
39, 43.0, 11215, 9234, 2550, 3990, 1438, 3016, 3529, 809, 41, 83, NA, 35781,  1*
40, 44.0, 19751, 3842, 7393, 1605, 1593, 2913, 2383, 1568, 44, 87, NA, 41048,  1*
41, 45.0, 31832, 8567, 2575, 567, 1966, 3612, 1358, 1671, 54, 80, NA, 52148,  1*
42, 46.0, 1964, 8003, 3374, 3231, 1915, 3023, 3429, 648, 48, 74, NA, 25587,  1*
43, 47.0, 83476, 13469, 525, 717, 1292, 1654, 914, 310, 43, 48, NA, 102357,  1*
44, 48.0, 316043, 25191, 39068, 6596, 37742, 16453, 9398, 5349, 43, 41, NA, 455840,  1*
45, 49.0, 223408, 31957, 10969, 2151, 8306, 3720, 3020, 1102, 29, 44, NA, 284633,  1*
46, 50.0, 17654, 5224, 5569, 862, 779, 4032, 2482, 2401, 37, 48, NA, 39003,  1*
47, 51.0, 29061, 7929, 1830, 1545, 2141, 2806, 2158, 776, 43, 66, NA, 48246,  1*
48, 52.0, 594672, 37502, 17554, 9468, 7711, 7962, 6890, 4578, 37, 64, NA, 686337,  1*
49, 53.0, 49014, 34919, 2237, 1500, 2507, 2971, 2306, 3105, 37, 50, NA, 98559,  1*
50, 54.0, 1193159, 95960, 18550, 19681, 4147, 6322, 6979, 5312, 17, 43, NA, 1350110,  1*
51, 55.0, 117976, 12999, 1519, 1523, 1715, 2377, 2166, 373, 13, 37, NA, 140648,  1*
52, 56.0, 6480, 11425, 10829, 4928, 3782, 9565, 4858, 3791, 23, 40, NA, 55658,  1*
53, 57.0, 26019, 6559, 2568, 5848, 4151, 7902, 3014, 1937, 41, 60, NA, 57998,  1*
54, 58.0, 755301, 46116, 33845, 73626, 8317, 34880, 22615, 10068, 56, 75, NA, 984768,  1*
55, 59.0, 42704, 21703, 9268, 12048, 3086, 6475, 3397, 2325, 56, 91, NA, 101006,  1*
56, 60.0, 148126, 58045, 11244, 10073, 5048, 11390, 4304, 1867, 48, 81, NA, 250097,  1*
57, 61.0, 840076, 134317, 20869, 15120, 7868, 12233, 27771, 9068, 29, 74, NA, 1067322,  1*
58, 62.0, 9788, 14192, 5895, 1260, 453, 4733, 4057, 623, 29, 56, NA, 41001,  1*
59, 63.0, 7463, 5372, 4597, 12965, 3508, 6751, 887, 3681, 37, 63, NA, 45224,  1*
60, 64.0, 9026, 6784, 5857, 9155, 4653, 4647, 1740, 836, 40, 78, NA, 42698,  1*
61, 65.0, 52807, 5941, 3827, 2212, 2757, 4089, 4296, 820, 54, 87, NA, 76749,  1*
