MEDIA_NAME,SPECIFIC_CATEGORY,MACRO_CATEGORY
NewMedia1,Critical Thinking,Textual
NewMedia2,Critical Thinking,Textual
NewMedia3,Critical Thinking,Textual
NewMedia4,Deductive Reasoning,Textual
NewMedia5,Deductive Reasoning,Textual
NewMedia6,Deductive Reasoning,Textual
NewMedia7,Diagrammatic Reasoning,Graphical
NewMedia8,Diagrammatic Reasoning,Graphical
NewMedia9,Diagrammatic Reasoning,Graphical
NewMedia10,Inductive Reasoning,Graphical
NewMedia11,Inductive Reasoning,Graphical
NewMedia12,Inductive Reasoning,Graphical
NewMedia13,Logical Reasoning,Graphical
NewMedia14,Logical Reasoning,Graphical
NewMedia15,Logical Reasoning,Graphical
NewMedia16,Mechanical Reasoning,Graphical
NewMedia17,Mechanical Reasoning,Graphical
NewMedia18,Mechanical Reasoning,Graphical
NewMedia19,Spatial Reasoning,Graphical
NewMedia20,Spatial Reasoning,Graphical
NewMedia21,Spatial Reasoning,Graphical
NewMedia22,Verbal Reasoning,Textual
NewMedia23,Verbal Reasoning,Textual
NewMedia24,Verbal Reasoning,Textual
