MEDIA_NAME,USER_ID,SPECIFIC_CATEGORY,MACRO_CATEGORY,CORRECT_ANSWER,USER_ANSWER,T_I_J,AVERAGE_T_J,D_I_J,AVERAGE_D_I,LABEL
NewMedia1,USER_1,Critical Thinking,Textual,b,a,58.58481,53.460440000000006,0.0874692603765377,-0.1345066355921906,1
NewMedia11,USER_1,Inductive Reasoning,Graphical,b,b,37.3974,59.445183913043486,-0.5895539238835719,-0.1345066355921906,0
NewMedia12,USER_1,Inductive Reasoning,Graphical,d,d,39.72852,28.096099782608693,0.2927977235847524,-0.1345066355921906,1
NewMedia10,USER_1,Inductive Reasoning,Graphical,d,a,56.80237,54.161886739130445,0.0464854417319129,-0.1345066355921906,1
NewMedia7,USER_1,Diagrammatic Reasoning,Graphical,b,b,76.25513,63.053258913043486,0.1731276451427793,-0.1345066355921906,1
NewMedia2,USER_1,Critical Thinking,Textual,a,b,50.55969,43.53073565217391,0.1390228925024282,-0.1345066355921906,1
NewMedia15,USER_1,Logical Reasoning,Graphical,c,c,29.50592,41.98388782608696,-0.4228970940776279,-0.1345066355921906,0
NewMedia23,USER_1,Verbal Reasoning,Textual,d,d,87.61511,109.81043217391304,-0.2533275615805657,-0.1345066355921906,0
NewMedia5,USER_1,Deductive Reasoning,Textual,b,c,100.5238,66.91064043478262,0.3343801126222583,-0.1345066355921906,1
NewMedia18,USER_1,Mechanical Reasoning,Graphical,a,b,37.87256,56.30706782608695,-0.4867510362670744,-0.1345066355921906,1
NewMedia22,USER_1,Verbal Reasoning,Textual,d,a,120.16248,90.9118658695652,0.2434255196000848,-0.1345066355921906,1
NewMedia17,USER_1,Mechanical Reasoning,Graphical,b,b,19.82727,26.932871304347827,-0.3583751723937702,-0.1345066355921906,0
NewMedia14,USER_1,Logical Reasoning,Graphical,a,a,41.45667,62.11906499999999,-0.4984094236223022,-0.1345066355921906,0
NewMedia8,USER_1,Diagrammatic Reasoning,Graphical,c,b,68.50464,80.11716369565217,-0.1695144109311744,-0.1345066355921906,1
NewMedia6,USER_1,Deductive Reasoning,Textual,a,a,90.68311,90.38850673913043,0.0032487114840852,-0.1345066355921906,1
NewMedia24,USER_1,Verbal Reasoning,Textual,b,b,74.63428,81.41989043478262,-0.0909181469263535,-0.1345066355921906,0
NewMedia16,USER_1,Mechanical Reasoning,Graphical,b,b,7.24011,19.867627391304342,-1.7441057375239248,-0.1345066355921906,0
NewMedia9,USER_1,Diagrammatic Reasoning,Graphical,b,b,73.64233,80.25072065217392,-0.0897363059014282,-0.1345066355921906,0
NewMedia13,USER_1,Logical Reasoning,Graphical,d,a,81.28528,53.294944565217385,0.3443469153920933,-0.1345066355921906,1
