MEDIA_NAME,USER_ID,SPECIFIC_CATEGORY,MACRO_CATEGORY,CORRECT_ANSWER,USER_ANSWER,T_I_J,AVERAGE_T_J,D_I_J,AVERAGE_D_I,D_I_F,AVERAGE_D_I_F,D_I_H,AVERAGE_D_I_H,LABEL
NewMedia1,USER_1,Critical Thinking,Textual,b,a,58.58481,53.46044000000001,0.08746926037653774,-0.13450663559219062,-1.7441057375239248,-0.6032277287776475,0.7732397141166137,-0.002217776832131904,1
NewMedia11,USER_1,Inductive Reasoning,Graphical,b,b,37.3974,59.445183913043486,-0.5895539238835719,-0.13450663559219062,-1.7441057375239248,-0.6032277287776475,0.7732397141166137,-0.002217776832131904,1
NewMedia12,USER_1,Inductive Reasoning,Graphical,d,d,39.72852,28.09609978260869,0.2927977235847524,-0.13450663559219062,-1.7441057375239248,-0.6032277287776475,0.7732397141166137,-0.002217776832131904,1
NewMedia10,USER_1,Inductive Reasoning,Graphical,d,a,56.802369999999996,54.16188673913045,0.04648544173191292,-0.13450663559219062,-1.7441057375239248,-0.6032277287776475,0.7732397141166137,-0.002217776832131904,1
NewMedia7,USER_1,Diagrammatic Reasoning,Graphical,b,b,76.25513000000001,63.05325891304349,0.17312764514277934,-0.13450663559219062,-1.7441057375239248,-0.6032277287776475,0.7732397141166137,-0.002217776832131904,1
NewMedia2,USER_1,Critical Thinking,Textual,a,b,50.55969,43.53073565217391,0.1390228925024282,-0.13450663559219062,-1.7441057375239248,-0.6032277287776475,0.7732397141166137,-0.002217776832131904,1
NewMedia15,USER_1,Logical Reasoning,Graphical,c,c,29.50592,41.983887826086956,-0.4228970940776279,-0.13450663559219062,-1.7441057375239248,-0.6032277287776475,0.7732397141166137,-0.002217776832131904,1
NewMedia23,USER_1,Verbal Reasoning,Textual,d,d,87.61511,109.81043217391304,-0.2533275615805657,-0.13450663559219062,-1.7441057375239248,-0.6032277287776475,0.7732397141166137,-0.002217776832131904,1
NewMedia5,USER_1,Deductive Reasoning,Textual,b,c,100.5238,66.91064043478262,0.3343801126222584,-0.13450663559219062,-1.7441057375239248,-0.6032277287776475,0.7732397141166137,-0.002217776832131904,1
NewMedia18,USER_1,Mechanical Reasoning,Graphical,a,b,37.87256,56.30706782608695,-0.4867510362670744,-0.13450663559219062,-1.7441057375239248,-0.6032277287776475,0.7732397141166137,-0.002217776832131904,1
NewMedia22,USER_1,Verbal Reasoning,Textual,d,a,120.16248,90.9118658695652,0.2434255196000848,-0.13450663559219062,-1.7441057375239248,-0.6032277287776475,0.7732397141166137,-0.002217776832131904,1
NewMedia17,USER_1,Mechanical Reasoning,Graphical,b,b,19.827270000000002,26.93287130434783,-0.35837517239377026,-0.13450663559219062,-1.7441057375239248,-0.6032277287776475,0.7732397141166137,-0.002217776832131904,1
NewMedia14,USER_1,Logical Reasoning,Graphical,a,a,41.45667,62.11906499999999,-0.4984094236223022,-0.13450663559219062,-1.7441057375239248,-0.6032277287776475,0.7732397141166137,-0.002217776832131904,1
NewMedia8,USER_1,Diagrammatic Reasoning,Graphical,c,b,68.50464000000001,80.11716369565217,-0.16951441093117448,-0.13450663559219062,-1.7441057375239248,-0.6032277287776475,0.7732397141166137,-0.002217776832131904,1
NewMedia6,USER_1,Deductive Reasoning,Textual,a,a,90.68311,90.38850673913043,0.003248711484085234,-0.13450663559219062,-1.7441057375239248,-0.6032277287776475,0.7732397141166137,-0.002217776832131904,1
NewMedia24,USER_1,Verbal Reasoning,Textual,b,b,74.63428,81.41989043478263,-0.09091814692635357,-0.13450663559219062,-1.7441057375239248,-0.6032277287776475,0.7732397141166137,-0.002217776832131904,1
NewMedia16,USER_1,Mechanical Reasoning,Graphical,b,b,7.2401100000000005,19.867627391304342,-1.7441057375239248,-0.13450663559219062,-1.7441057375239248,-0.6032277287776475,0.7732397141166137,-0.002217776832131904,0
NewMedia9,USER_1,Diagrammatic Reasoning,Graphical,b,b,73.64233,80.25072065217392,-0.08973630590142821,-0.13450663559219062,-1.7441057375239248,-0.6032277287776475,0.7732397141166137,-0.002217776832131904,1
NewMedia13,USER_1,Logical Reasoning,Graphical,d,a,81.28528,53.29494456521738,0.3443469153920933,-0.13450663559219062,-1.7441057375239248,-0.6032277287776475,0.7732397141166137,-0.002217776832131904,1
NewMedia21,USER_1,Spatial Reasoning,Graphical,b,b,44.0686,47.02179413043478,-0.06701356817404623,-0.13450663559219062,-1.7441057375239248,-0.6032277287776475,0.7732397141166137,-0.002217776832131904,1
NewMedia19,USER_1,Spatial Reasoning,Graphical,b,d,60.018069999999994,60.0733354347826,-0.0009208132614493904,-0.13450663559219062,-1.7441057375239248,-0.6032277287776475,0.7732397141166137,-0.002217776832131904,1
NewMedia4,USER_1,Deductive Reasoning,Textual,a,a,71.80041999999999,63.60174478260869,0.11418700917614845,-0.13450663559219062,-1.7441057375239248,-0.6032277287776475,0.7732397141166137,-0.002217776832131904,1
NewMedia20,USER_1,Spatial Reasoning,Graphical,c,c,40.02332,49.77474869565217,-0.2436436731298696,-0.13450663559219062,-1.7441057375239248,-0.6032277287776475,0.7732397141166137,-0.002217776832131904,1
NewMedia3,USER_1,Critical Thinking,Textual,a,a,45.30103,44.91522913043478,0.0085163818475036,-0.13450663559219062,-1.7441057375239248,-0.6032277287776475,0.7732397141166137,-0.002217776832131904,1
NewMedia12,USER_2,Inductive Reasoning,Graphical,d,d,11.059510000000001,28.09609978260869,-1.5404470706757076,-0.8186098519773971,-0.9695488819026054,-0.9964457213812428,0.7710891593647716,-0.7567867632888946,0
NewMedia20,USER_2,Spatial Reasoning,Graphical,c,d,24.75739,49.77474869565217,-1.0105006503372194,-0.8186098519773971,-0.9695488819026054,-0.9964457213812428,0.7710891593647716,-0.7567867632888946,0
NewMedia15,USER_2,Logical Reasoning,Graphical,c,c,16.41144,41.983887826086956,-1.5582086536030333,-0.8186098519773971,-0.9695488819026054,-0.9964457213812428,0.7710891593647716,-0.7567867632888946,0
NewMedia1,USER_2,Critical Thinking,Textual,b,a,46.71515,53.46044000000001,-0.14439191568474047,-0.8186098519773971,-0.9695488819026054,-0.9964457213812428,0.7710891593647716,-0.7567867632888946,1
NewMedia4,USER_2,Deductive Reasoning,Textual,a,a,60.23199,63.60174478260869,-0.05594626348239013,-0.8186098519773971,-0.9695488819026054,-0.9964457213812428,0.7710891593647716,-0.7567867632888946,1
NewMedia17,USER_2,Mechanical Reasoning,Graphical,b,b,18.20599,26.93287130434783,-0.4793412115654149,-0.8186098519773971,-0.9695488819026054,-0.9964457213812428,0.7710891593647716,-0.7567867632888946,1
NewMedia24,USER_2,Verbal Reasoning,Textual,b,b,94.72266,81.41989043478263,0.140439146928701,-0.8186098519773971,-0.9695488819026054,-0.9964457213812428,0.7710891593647716,-0.7567867632888946,1
NewMedia14,USER_2,Logical Reasoning,Graphical,a,d,54.478269999999995,62.11906499999999,-0.14025399484968942,-0.8186098519773971,-0.9695488819026054,-0.9964457213812428,0.7710891593647716,-0.7567867632888946,1
NewMedia21,USER_2,Spatial Reasoning,Graphical,b,d,33.519040000000004,47.02179413043478,-0.4028383310033575,-0.8186098519773971,-0.9695488819026054,-0.9964457213812428,0.7710891593647716,-0.7567867632888946,1
NewMedia11,USER_2,Inductive Reasoning,Graphical,b,b,42.09277,59.445183913043486,-0.4122421478330717,-0.8186098519773971,-0.9695488819026054,-0.9964457213812428,0.7710891593647716,-0.7567867632888946,1
