MEDIA_NAME,TOTAL,RIGHT,WRONG,AVERAGE_TIME,STANDARD_DEVIATION
NewMedia1,46,16,30,53.460440000000006,16.010909926058844
NewMedia2,46,29,17,43.53073565217391,16.126538240220636
NewMedia3,46,25,21,44.91522913043478,20.514310439887296
NewMedia4,46,42,4,63.60174478260869,33.04384379871759
NewMedia5,46,30,16,66.91064043478262,37.74079433018773
NewMedia6,46,34,12,90.38850673913043,28.836367954144603
NewMedia7,46,31,15,63.053258913043486,37.69036354745607
NewMedia8,46,26,20,80.11716369565217,42.5825603852088
NewMedia9,46,35,11,80.25072065217392,45.264376873501625
NewMedia10,46,1,45,54.161886739130445,39.85382850742378
NewMedia11,46,34,12,59.445183913043486,50.2438082920596
NewMedia12,46,42,4,28.096099782608693,26.75423481272406
NewMedia13,46,42,4,53.294944565217385,39.74848290495881
NewMedia14,46,34,12,62.11906499999999,25.87642537491495
NewMedia15,46,28,18,41.98388782608696,15.818148159918406
NewMedia16,46,43,3,19.867627391304342,8.6627043737147
NewMedia17,46,37,9,26.932871304347827,12.197313827340732
NewMedia18,46,30,16,56.30706782608695,37.588913331290165
NewMedia19,46,33,13,60.0733354347826,43.51007105993152
NewMedia20,46,36,10,49.77474869565217,28.179169290766016
NewMedia21,46,32,14,47.02179413043478,33.424367896248505
NewMedia22,46,38,8,90.9118658695652,39.33153431860472
NewMedia23,46,28,18,109.81043217391304,42.62104957057027
NewMedia24,46,41,5,81.41989043478262,23.59803848655996
