alpha1,alpha2,beta1,beta2,gamma1,gamma2,theta,delta
-0.9883325496714087,-0.9296069903216959,-0.8918015403003317,-0.6316367851390206,-0.5380208448097306,-0.31297775487417334,-0.9789972399895299,-0.9789972399895299
-0.9040633782025347,-0.9100218121024516,-0.8439929185725712,-0.8455794908850051,-0.40647378974505877,-0.5255518337198317,-0.9655418099645372,-0.9655418099645372
-0.9700932739937234,-0.9872131447304834,-0.9508613639835726,-0.9430670339761249,-0.9215124606130048,-0.9152280340118526,-0.9649980949762959,-0.9649980949762959
-0.8430033569889887,-0.8308713085955357,-0.42895656784420855,-0.16403980189375122,-0.11266333208470136,0.5393798849093876,-0.6656718771002001,-0.6656718771002001
-0.8128232605438979,-0.8994880033436516,-0.9401853033421103,-0.7103674599948817,-0.5584249608884384,-0.24538349222708922,-0.9223680101547365,-0.9223680101547365
-0.9737619052826103,-0.9706712119431057,-0.8444242745580848,-0.894774872420178,-0.8776634422581142,-0.9646998196341149,-0.9677995409751903,-0.9677995409751903
-0.9855277689691747,-0.96513328892546,-0.9844532113554463,-0.9256951030423459,-0.87687019368486,-0.9017435368891179,-0.9528645593836819,-0.9528645593836819
-0.9758996621141376,-0.9916212792079725,-0.9850642990015906,-0.9378885727618962,-0.8436859617037217,-0.9407369234733316,-0.9925860722049462,-0.9925860722049462
-0.9913068200457076,-0.9877029374502044,-0.9102779550131653,-0.9239789850818166,-0.7781548156798801,-0.8158550201838014,-0.9832176001956565,-0.9832176001956565
-0.9572448633694547,-0.9656230816451811,-0.9503581153338067,-0.9292176609613272,-0.8543948174426548,-0.7766898565661771,-0.8883928977482316,-0.8883928977482316
-0.9596942625012301,-0.961939840392879,-0.8457003693485626,-0.7127158319408692,-0.3383866205407311,-0.42136906295628274,-0.9327774234983917,-0.9327774234983917
-0.9898634241287684,-0.9868931468202656,-0.9108351231611205,-0.6352496650559244,-0.284357578829077,-0.21291763291247956,-0.9519327652960266,-0.9519327652960266
-0.9771899705853407,-0.9936914697699933,-0.9842195601966265,-0.8227581327432296,-0.6007756208271819,-0.7947264450742936,-0.9788537315725592,-0.9788537315725592
-0.9415424653639654,-0.9713634523203114,-0.9212775326437629,-0.7464962591639194,-0.8138510014763237,-0.9057802971742678,-0.9134037872073363,-0.9134037872073363
