time,user_id,media_name,delta,alpha1,alpha2,beta1,beta2,gamma1,gamma2,theta,totalPower,FPOGX,FPOGY,FPOGD,RPD,LPD
3.9,USER_9,NewMedia11,88503,13744,24080,7903,4605,4354,4427,93502,241118,0.38876812080536916,0.49004228187919463,0.12633362416107383,20.598188993288588,20.793245570469796
4.9,USER_9,NewMedia11,15880,7763,2945,3247,3330,4397,1855,28524,67941,0.5777853691275168,0.22509140939597316,0.20984194630872485,21.431551275167784,21.595419463087246
5.9,USER_9,NewMedia11,115257,1643,1638,2013,508,357,267,14593,136276,0.4104051333333333,0.25780846666666674,0.1299803333333333,22.5391042,21.942797133333332
6.9,USER_9,NewMedia11,18912,4008,2832,2709,3314,1057,1197,4077,38106,0.4536403355704699,0.42899322147651003,0.1284288590604027,21.502881879194632,20.80550812080537
7.9,USER_9,NewMedia11,734799,33685,12786,15400,21604,6437,9113,59883,893707,0.5019565306122449,0.5788209523809524,0.11920360544217687,21.421110680272108,21.499745986394558
8.9,USER_9,NewMedia11,49464,4950,10813,5401,3730,1688,1211,53759,131016,0.6819811409395973,0.49409771812080533,0.17415724832214768,21.359257315436242,21.559293959731544
9.9,USER_9,NewMedia11,39364,8979,5726,2962,1673,2751,1079,5591,68125,0.6481502666666666,0.293999,0.3153426,23.05987386666667,22.519695266666666
10.9,USER_9,NewMedia11,30881,6895,3690,3978,2283,2417,598,14845,65587,0.5635904697986577,0.2048256375838926,0.11947449664429528,23.99510389261745,23.79122798657718
11.9,USER_9,NewMedia11,6271,7985,3660,6280,2112,2800,1664,14674,45446,0.5065007432432433,0.31703959459459463,0.12631587837837838,23.539974054054053,23.06063324324325
12.9,USER_9,NewMedia11,100376,5893,2801,2409,4987,1515,1088,43579,162648,0.5030206040268457,0.5545616778523489,0.1752426845637584,21.687088120805374,20.640557382550334
13.9,USER_9,NewMedia11,316044,44591,10225,29557,10291,5778,7472,200013,623971,0.5669742567567568,0.46972736486486477,0.1213095945945946,19.271670945945946,20.57339662162162
14.9,USER_9,NewMedia11,51889,5051,5230,1737,1861,706,266,50030,116770,0.5565635570469799,0.22318114093959732,0.09395503355704699,22.415067919463088,21.820007315436243
15.9,USER_9,NewMedia11,331068,85217,56281,75190,12349,8032,13173,165935,747245,0.4315795973154362,0.395518389261745,0.1178878523489933,23.04646966442953,22.506955906040268
16.9,USER_9,NewMedia11,703582,2303,2707,3684,2729,3137,2175,28299,748616,0.5099909333333333,0.9006692000000001,0.35796433333333333,21.651956000000002,21.2503242
17.9,USER_9,NewMedia11,13937,2553,2260,4907,3706,2626,4019,13026,47034,0.46557006711409404,1.0292237583892618,0.16284946308724832,23.517651610738255,21.908165369127516
18.9,USER_9,NewMedia16,1303425,12011,16100,4100,8763,1529,1813,89036,1436777,0.4813572891566265,0.4466390361445783,0.13607481927710843,21.385311566265063,19.68527861445783
19.9,USER_9,NewMedia16,53277,11369,4266,9530,4796,2241,1428,14084,100991,0.48521362416107383,0.5973784563758389,0.13838100671140943,19.505299261744966,19.77952456375839
20.9,USER_9,NewMedia16,9325,4216,4405,5644,4048,2185,2026,24261,56110,0.48412449664429535,0.28452906040268455,0.11886597315436243,19.88256167785235,20.418336577181208
21.9,USER_9,NewMedia16,412586,6130,39236,10952,14246,11807,2559,173541,671057,0.5137167333333333,0.23685866666666663,0.23138746666666668,21.556052399999995,21.2326158
22.9,USER_9,NewMedia16,646916,2492,27929,1777,3777,9576,1799,33796,728062,0.6097363087248322,0.25853926174496644,0.1655958389261745,22.05315570469799,21.2313577852349
23.9,USER_9,NewMedia16,23864,544,6465,4133,2434,2234,1066,6647,47387,0.5632592617449664,0.2619088590604026,0.24369167785234894,22.928663221476512,22.38294563758389
24.9,USER_9,NewMedia16,18550,3858,1407,3544,1236,2659,1023,11406,43683,0.5549996666666667,0.29017780000000004,0.19211453333333328,23.689429399999998,23.15700166666667
25.9,USER_9,NewMedia16,9543,2317,1666,1404,2928,3344,1798,12953,35953,0.47442543624161077,0.2374981208053691,0.1748414093959732,23.278402147651008,22.324519530201343
26.9,USER_9,NewMedia16,2980,3984,7291,2064,2947,3140,1576,3352,27334,0.4035818120805369,0.28061557046979874,0.2112142281879195,23.596861006711407,22.801906174496644
27.9,USER_9,NewMedia16,7118,12012,3608,2825,2719,1576,752,4278,34888,0.40221818791946307,0.7783402013422819,0.14686255033557047,23.073043355704694,22.047522885906037
28.9,USER_9,NewMedia16,71565,3316,5635,3148,1367,3444,829,10414,99718,0.6411886,0.6261594666666667,0.2103363333333333,21.174484133333333,20.726094133333334
29.9,USER_9,NewMedia16,43364,22443,13724,10565,5421,2798,1854,42405,142574,0.4632377852348992,0.26842953020134225,0.3292013422818792,22.0717655704698,20.894462885906037
30.9,USER_9,NewMedia16,17556,1184,2491,4500,2915,4219,1811,29530,64206,0.6315426845637584,0.24055093959731544,0.13682328859060405,21.789130201342285,21.2009355033557
31.9,USER_9,NewMedia16,7805,3394,3763,3696,3144,2637,2390,4875,31704,0.5583660402684564,0.285290067114094,0.1598425503355705,22.380404899328855,21.458308791946312
32.9,USER_9,NewMedia16,3850,9303,827,951,2912,4545,2532,2266,27186,0.5515195333333334,0.29144333333333333,0.19001806666666668,22.459307666666668,21.584256933333336
33.9,USER_9,NewMedia16,18041,734,823,1265,1976,4167,1665,5177,33848,0.39235516778523494,0.25104288590604024,0.20322134228187916,21.558065637583894,20.864394765100673
34.9,USER_9,NewMedia16,905,6459,1491,3363,1350,6805,802,3499,24674,0.26488918367346936,0.5642027891156463,0.1904483673469388,21.37458639455782,20.369431768707482
35.9,USER_9,NewMedia16,79137,15193,2482,3231,1457,3405,2541,63965,171411,0.43267599999999995,0.7830646666666666,0.3579846666666667,23.055941,21.784144400000002
36.9,USER_9,NewMedia16,677905,6976,9688,20452,17919,20290,4246,32409,789885,0.5018182993197279,0.7854742176870749,0.2916090476190476,22.360125850340136,21.410279795918367
37.9,USER_9,NewMedia18,25457,3123,2519,9116,7967,4659,813,5526,59180,0.47531110701107004,0.5764887822878229,0.20530977859778596,21.18255254612546,19.984669926199263
38.9,USER_9,NewMedia18,7521,1663,2143,1988,4068,2034,990,4639,25046,0.4824995973154362,0.5926132885906041,0.11679355704697986,18.537375033557048,17.518076442953024
39.9,USER_9,NewMedia18,33672,2243,10846,6506,7467,2967,1706,13021,78428,0.46015221476510065,0.3221362416107383,0.17869926174496645,19.012557852348994,18.432155637583893
40.9,USER_9,NewMedia18,4348,8517,4203,6840,3308,1460,1383,5620,35679,0.5258718,0.30262653333333334,0.24609366666666668,20.66408546666667,20.427721533333333
41.9,USER_9,NewMedia18,697702,715,12416,7635,15323,9944,6467,61264,811466,0.5841906849315069,0.6681291095890411,0.11945006849315067,20.133864520547945,19.07638945205479
42.9,USER_9,NewMedia18,88829,4220,3889,10949,5841,3466,968,14782,132944,0.47251073825503354,0.14414483221476512,0.12868006711409397,21.1221866442953,19.908963154362414
43.9,USER_9,NewMedia18,117727,16069,2895,2217,6645,3607,1641,112912,263713,0.4802921476510067,0.15448167785234898,0.10608114093959731,22.07748288590604,21.45157657718121
44.9,USER_9,NewMedia18,14365,2052,3545,3140,4996,3072,894,5550,37614,0.4622302684563758,0.17701308724832213,0.23504120805369125,22.514252617449664,22.014769731543623
45.9,USER_9,NewMedia18,1437,1392,3005,1642,3338,4023,589,15793,31219,0.4107481879194631,0.16395872483221477,0.22602644295302013,22.569040134228185,21.549707181208056
46.9,USER_9,NewMedia18,8732,2992,5794,2600,2252,4186,2182,13551,42289,0.47384435714285716,0.2915631428571428,0.17496892857142857,18.0505035,20.339198785714284
47.9,USER_9,NewMedia18,5124,4557,1864,1034,3868,1015,649,8649,26760,0.7743678666666667,0.8108615333333333,0.2120586,21.331633399999998,21.094831933333335
48.9,USER_9,NewMedia18,241103,5354,8309,3478,7103,4201,1338,261861,532747,0.47702429530201346,1.1627840939597316,0.18867765100671138,21.067597785234902,19.47217476510067
49.9,USER_9,NewMedia6,208165,3215,8703,6086,4282,11405,3474,14618,259948,0.5397819917012449,0.4913042323651452,0.12828240663900414,19.781684481327805,18.677672614107884
50.9,USER_9,NewMedia6,52848,12979,1579,5012,9668,4411,1917,29522,117936,0.24261731543624157,0.013853691275167786,0.11060812080536912,17.374732147651002,16.21123046979866
51.9,USER_9,NewMedia6,67300,8381,32475,25620,9326,12196,3863,63236,222397,0.40299295302013427,-0.012670604026845639,0.20392617449664432,18.306697382550336,17.243199261744966
52.9,USER_9,NewMedia6,2083899,14967,33381,5572,18998,8099,2718,26618,2194252,0.2905196644295302,0.02583429530201342,0.12913261744966445,18.724014026845637,18.53671053691275
53.9,USER_9,NewMedia6,4552,4556,2136,1246,7084,7416,3628,12647,43265,0.36060604026845644,-0.005348523489932885,0.10880778523489935,18.114553959731545,19.214706040268457
54.9,USER_9,NewMedia6,4457,7093,711,3284,2166,4140,541,6763,29155,0.2689410738255033,0.02331765100671141,0.12893604026845637,19.650823154362413,19.510440939597316
