time,user_id,media_name,delta,alpha1,alpha2,beta1,beta2,gamma1,gamma2,theta,totalPower,FPOGX,FPOGY,FPOGD,RPD,LPD
4.9,USER_28,NewMedia8,-0.9927235650177163,-0.9818858949081464,-0.9761035512777962,-0.9663053252073134,-0.8155897581388751,-0.6812662288070872,-0.9255780986976168,-0.9946702786496504,-0.9884688748297913,-0.4495116224382796,-0.6190165754867343,-0.8594549638455914,0.629158028695626,0.3364840585814233
5.9,USER_28,NewMedia8,-0.9977714708352963,-0.9872562826651644,-0.9386295748725221,-0.9424767709061844,-0.9451876019575857,-0.9476859630365053,-0.9717078645048877,-0.9792720268289501,-0.9954060477044341,-0.22076701197954862,-0.6472161579777517,-0.5884612351046226,0.6467141744028928,0.5446481292490337
6.9,USER_28,NewMedia8,-0.9983012378768921,-0.9117203392482709,-0.9421748182119905,-0.9792187031671495,-0.7181360380168806,-0.9115625477317856,-0.9236289536635067,-0.9409433107968106,-0.9836142259050632,0.4310128295138169,-0.6401027907017229,-0.8395798948190216,0.5025599268483427,0.6775569099772731
7.9,USER_28,NewMedia8,-0.9922458070692453,-0.9440678496541796,-0.9957758802763781,-0.9259166749925067,-0.8864316618199872,-0.9190850771345654,-0.8132364667316382,-0.9497340894963433,-0.983889151590008,0.1498622532806837,-0.6747551015128148,-0.8440011632646155,0.7159665041123691,0.6566140011778729
8.9,USER_28,NewMedia8,-0.9910459693859963,-0.9230870340813069,-0.9690130645988595,-0.9637576181436707,-0.8737499113412299,-0.9042691308996487,-0.9536339741885945,-0.9767625683961721,-0.9862608302806504,-0.08174401121115304,-0.5152611060092354,-0.8275185215278925,0.7862776828056766,0.6234874340079135
9.9,USER_28,NewMedia8,-0.9970699528350097,-0.9954182705849216,-0.9415562863953173,-0.9392796483165151,-0.8843605929498546,-0.8565755307774553,-0.8341454770975458,-0.9861212367716239,-0.992602923715237,0.13020849531870837,-0.4322972657332409,-0.6910154521343694,0.666985638933576,0.6178362845432541
10.9,USER_28,NewMedia8,-0.9933851690628143,-0.960053829061434,-0.9664635066228163,-0.8844539914077331,-0.825746506844457,-0.9170612494272186,-0.9608989693157319,-0.8962833922966533,-0.97674210014257,0.20689828385466735,-0.33929142263501455,-0.7149229556474843,0.4901805940451731,0.5094960867292879
12.0,USER_28,NewMedia8,-0.9854416872233616,-0.8865083090789597,-0.9377998370696679,-0.9390798281546608,-0.9225760692247678,-0.8639835038949137,-0.9605445793095302,-0.9003123393217556,-0.9687860252377714,-0.013896698782425276,-0.24596703994986124,-0.704715933305609,0.23367097839569184,0.37904103437987224
12.9,USER_28,NewMedia8,-0.7101744905074334,-0.6089882014208369,-0.49266813505114204,-0.618892996303327,-0.2486275622384566,-0.406025660607912,-0.8140043117450755,-0.33491677346573856,-0.6103952399742962,-0.2841384615343441,-0.12917000008466129,-0.6708889167967483,0.20414483956918295,0.3675502474247483
13.9,USER_28,NewMedia8,-0.9914221281758052,-0.9432791913122398,-0.9215369761337235,-0.8930962134079329,-0.938038158734662,-0.8506949747976172,-0.7729541360266974,-0.9733322077862279,-0.9827894488502288,-0.08869149969143153,-0.7011335986550391,-0.7893964506916679,0.5164100183485787,0.4921200935694303
14.9,USER_28,NewMedia8,-0.19889426248989295,-0.748680875035208,-0.6703979724225326,-0.029898091717454278,-0.663125044329385,-0.36329616618298455,-0.8174891468060601,-0.4784662374239297,-0.2063352838150334,-0.494924949441793,-0.6771517462196552,-0.8218628081461476,0.7622306817190472,0.5682483447787481
15.9,USER_28,NewMedia8,-0.9855856193647996,-0.9629706130879729,-0.9549075219503365,-0.9335847737036667,-0.7666784878360168,-0.9214525736978769,-0.9580047842650837,-0.9799435179998005,-0.9809721951545491,-0.2337858456541374,-0.6045275457754293,-0.7933319477042977,0.8464285838848067,0.8795135720592755
16.9,USER_28,NewMedia8,-0.9896574475509462,-0.9501768222076175,-0.9865884198775006,-0.9369567389349586,-0.7917582807291297,-0.849702153658164,-0.9578866542630164,-0.9691267545105021,-0.9830709808825013,-0.34867113863239796,-0.6640550445241893,-0.5440602281303311,0.35399437616532126,0.4709917905922172
17.9,USER_28,NewMedia8,-0.9930501337419877,-0.9810596814070667,-0.9514527954620885,-0.9228194624837647,-0.8585715298957373,-0.9370704139300443,-0.9375092289064115,-0.9657117422701773,-0.9874362519244163,0.46019992036054713,-0.6287912653473361,-0.8189036236925498,0.13373925553875843,0.502941846958868
19.0,USER_28,NewMedia8,-0.9928475401815601,-0.951366068913717,-0.9292761669130737,-0.9638575282245978,-0.938520462444145,-0.9339392087979227,-0.8570036324975636,-0.9938836747066543,-0.9905773159884531,0.44499005227970345,-0.638029639962338,-0.7676214764914522,0.19488519234496615,0.5410177633815447
19.9,USER_28,NewMedia8,-0.9984409367200526,-0.9700935749381905,-0.9216727514105543,-0.9199720251773404,-0.8645010284417335,-0.9519245455934016,-0.8899619030743333,-0.9851619636704091,-0.9929307001788034,-0.4458535396707912,-0.4744951863441893,-0.6980478454505645,0.362778621796807,0.4096604726281219
20.9,USER_28,NewMedia8,-0.9950355506341784,-0.9291334147028448,-0.8937784750927797,-0.966230392646618,-0.890488687140932,-0.9421108904841913,-0.9541064941968637,-0.9586821889844751,-0.9857877141758747,-0.36208468077637646,-0.5139492469776826,-0.7403894210245678,0.2078549689155924,0.37070208467780996
