time,user_id,media_name,delta,alpha1,alpha2,beta1,beta2,gamma1,gamma2,theta,totalPower,FPOGX,FPOGY,FPOGD,RPD,LPD
4.9,USER_8,NewMedia4,-0.9245098041384613,-0.8708055502907983,-0.8507493798001817,-0.930774915619438,-0.7820534219313028,-0.9319705508814585,-0.9056864302843332,-0.8750854495460512,-0.9138591922600602,-0.1545407896871066,-0.5790771066402818,-0.11334639479935571,0.17540337565304243,0.3152343536524389
5.9,USER_8,NewMedia4,-0.9932607329824308,-0.8830779794392652,-0.9263056688179492,-0.7931341478449176,-0.9233174667682069,-0.9783207912484215,-0.9152424307401056,-0.9750951493064631,-0.9916086096620028,0.03460235223446162,-0.593406392586998,-0.4255855237849474,0.03599981471853986,-0.013189335874472907
7.0,USER_8,NewMedia4,-0.988644325784981,-0.922003286177175,-0.9626628455048386,-0.9292413137500841,-0.8931931014899197,-0.9608147918248184,-0.9275287170403844,-0.9932439591677618,-0.994304942293131,-0.5745774647146598,-0.5181287812020233,-0.6609307631375712,-0.086901366616296,0.2735077282240461
7.9,USER_8,NewMedia4,-0.9939240686111246,-0.6626334272860199,-0.8453921677816284,-0.25432869107855005,0.5782090874900438,-0.7937023065295651,-0.5252863872964738,-0.9484729918733625,-0.9131564898173415,-0.4863733614116291,-0.4680432130499653,-0.07621451810132052,0.32380735673664485,0.4539274961731421
8.9,USER_8,NewMedia4,-0.9943328468697034,-0.8415854808896864,-0.9272529806992788,-0.8425928081315838,-0.7782846715518065,-0.9512716440233452,-0.7149818994495708,-0.9464434475447872,-0.9788080494887508,-0.30718430297152566,-0.49293811716425806,0.18411716065740835,0.37457604613594,0.48876340073684
9.9,USER_8,NewMedia4,-0.37651096110272153,-0.7793676045434618,-0.7747031018782783,-0.5558092585623882,-0.32823947317303803,-0.848705819179536,-0.728336558471613,-0.34351266316340856,-0.36114484203328934,0.0075543232677734995,-0.4981235784387684,-0.5698536917637109,0.27243319255224896,0.2717024277365321
11.0,USER_8,NewMedia4,-0.15820757731620994,-0.6820439019596156,-0.6854271235447034,-0.47295215756534625,-0.12823932548289485,-0.6913205938619902,-0.6068388383910781,-0.5514238677465004,-0.20911776048636,-0.34255200029592836,-0.352523407043414,-0.8715503543461645,0.2471533734461291,0.2822153301261805
12.0,USER_8,NewMedia4,-0.826265523938033,-0.6645536032752358,-0.8352003985756,-0.9274947116210976,-0.9345211668759613,-0.967565571620073,-0.9090102565298193,-0.7869056514393157,-0.819935378981403,0.10898301579863579,-0.4207663753658685,-0.39175194928897505,0.06662210903068733,0.09499620620144134
12.9,USER_8,NewMedia4,-0.9657620337195372,-0.9516407851411599,-0.7752257567093566,-0.823337584660806,-0.8185615888728185,-0.9772774889164276,-0.8960710757884628,-0.9921355157267706,-0.9697636354667928,0.11087979533368708,-0.3598965788252365,-0.5319177360760992,0.2291926463304479,0.22912988221144626
13.9,USER_8,NewMedia4,-0.9889295415244893,-0.866631254662068,-0.9375427476861342,-0.9251943088170667,-0.839174346050472,-0.9114113578686381,-0.7396138260902264,-0.9853872808342576,-0.9844296690304996,-0.28964762445968906,-0.27719097642982315,-0.8028278275667995,0.13755492384972112,0.19200661363435834
