time,user_id,media_name,delta,alpha1,alpha2,beta1,beta2,gamma1,gamma2,theta,totalPower,FPOGX
5.0,USER_14,NewMedia22,177683,12340,8184,6126,7479,1170,937,23250,237169,0.73504
5.9,USER_14,NewMedia22,112465,14482,18077,10416,7261,10515,2229,43673,219118,0.30161
6.9,USER_14,NewMedia22,1068126,5338,15431,40374,16977,9331,3553,69077,1228207,0.45466
7.9,USER_14,NewMedia22,86669,1930,49352,7800,6409,5906,3172,49076,210314,0.64222
8.9,USER_14,NewMedia22,13350,1479,6512,4699,954,1359,443,19946,48742,0.86924
9.9,USER_14,NewMedia22,7211,2191,4177,3900,1924,1179,875,5423,26880,0.87073
10.9,USER_14,NewMedia22,1578,5311,1239,1478,2548,1450,985,4286,18875,0.12047
12.0,USER_14,NewMedia22,9058,2250,2261,3490,3559,854,899,5402,27773,0.21052
12.9,USER_14,NewMedia22,9721,3486,2878,1824,2024,1068,405,10179,31585,0.46585
13.9,USER_14,NewMedia22,4097,469,970,1843,3042,3136,122,12511,26190,0.50385
14.9,USER_14,NewMedia22,119352,3439,2259,14803,5176,2326,2238,18201,167794,0.75067
16.0,USER_14,NewMedia22,5401,6711,1370,2846,3326,1712,827,9348,31541,0.79789
16.9,USER_14,NewMedia22,16720,2042,3351,2257,4391,1869,735,25684,57049,0.1559
17.9,USER_14,NewMedia22,7716,9565,2010,3236,4069,1324,894,9053,37867,0.47383
18.9,USER_14,NewMedia22,7013,6067,2162,2844,1881,1954,1879,20414,44214,0.62956
19.9,USER_14,NewMedia22,10423,8366,2676,2214,3522,1332,986,2354,31873,0.85607
21.0,USER_14,NewMedia22,76427,14651,21184,7015,10659,1463,639,47356,179394,0.21373
22.0,USER_14,NewMedia22,25888,867,7695,3577,2295,1211,2954,15216,59703,0.27176
23.0,USER_14,NewMedia22,66176,9013,3758,8678,5812,2738,746,22425,119346,0.2958
23.9,USER_14,NewMedia22,21748,1212,8305,2661,3046,3672,1664,49222,91530,0.28844
24.9,USER_14,NewMedia22,57010,472,11790,3643,1885,1495,459,10855,87609,0.4941
25.9,USER_14,NewMedia22,46471,1942,3300,5102,3844,974,312,7269,69214,0.59635
26.9,USER_14,NewMedia22,7051,1148,5671,2419,2329,1464,657,2660,23399,0.769
27.9,USER_14,NewMedia22,19822,718,703,1768,1278,2203,535,4987,32014,0.89361
28.9,USER_14,NewMedia22,20916,5490,1318,6615,5705,1114,798,7420,49376,0.17506
30.0,USER_14,NewMedia22,50912,1458,6866,2586,2233,1089,656,15993,81793,0.4511
30.9,USER_14,NewMedia22,190851,9444,6010,3889,3367,782,608,19137,234088,0.61128
31.9,USER_14,NewMedia22,13142,10037,3547,1860,1460,1871,311,7088,39316,0.84278
32.9,USER_14,NewMedia22,35101,2499,2829,1062,2318,2146,616,5590,52161,0.10557
34.0,USER_14,NewMedia22,6866,7036,1494,2543,2606,2111,514,8665,31835,0.25421
34.9,USER_14,NewMedia22,6022,1362,881,2292,2548,2136,2593,17925,35759,0.46581
35.9,USER_14,NewMedia22,2106,1194,445,1145,1756,3036,339,4910,14931,0.55632
37.0,USER_14,NewMedia22,53956,5202,9421,5989,2499,1154,933,9730,88884,0.69425
