time,user_id,media_name,delta,alpha1,alpha2,beta1,beta2,gamma1,gamma2,theta,totalPower,FPOGX,FPOGY,RPD,LPD
5.0,USER_16,NewMedia12,145651,16456,5880,6764,3926,965,1832,13962,195436,0.6496064429530202,0.5212733557046981,20.790487046979866,20.523119664429533
6.0,USER_16,NewMedia12,2343435,16917,14913,8367,13634,5666,5046,72118,2480096,0.5424793288590604,0.2419070469798658,22.067427651006714,21.535766174496644
7.0,USER_16,NewMedia12,19124,5913,941,2998,3061,817,1004,10770,44628,0.16392385135135135,0.6101952027027027,21.02201168918919,20.07661141891892
8.0,USER_16,NewMedia12,27923,1876,2829,1399,1848,1589,524,11194,49182,0.2993056375838926,0.20026476510067115,21.513968389261745,21.817238456375836
9.0,USER_16,NewMedia12,978,2428,941,2277,1496,1509,454,5672,15755,0.33382583892617446,0.19429845637583895,20.989702953020135,21.600190939597315
10.0,USER_16,NewMedia12,10184,5671,3648,1685,3133,1242,1203,8960,35726,0.49212791946308715,0.22580308724832215,22.293769865771807,22.48842604026845
11.0,USER_16,NewMedia12,4401,1101,2034,998,2225,1122,880,1988,14749,0.487806,0.2054983333333333,21.973861066666668,22.0976456
12.0,USER_16,NewMedia12,72145,5260,3951,1640,2909,1007,765,9887,97564,0.7144661904761905,0.35796006802721086,21.421616326530614,21.220777891156462
13.0,USER_16,NewMedia12,23194,1661,3112,1556,3154,1874,772,38083,73406,0.5155041610738255,0.626866711409396,20.300327382550336,20.029923221476512
14.0,USER_16,NewMedia12,13380,2009,2398,743,2876,1628,439,4172,27645,0.21861328859060408,0.5187127516778524,20.74083953020134,20.329278053691276
15.0,USER_16,NewMedia12,2680,4149,4295,1092,2504,1500,863,4055,21138,0.6711020666666667,0.6291286,21.4202688,21.653588466666665
16.0,USER_16,NewMedia12,4445,2644,4068,509,1182,2316,907,6379,22450,0.5120527516778524,0.7009565771812081,21.166303221476515,20.99870382550336
17.0,USER_16,NewMedia12,3157,3112,1152,1536,2055,872,773,3305,15962,0.3177834228187919,0.2581518791946309,21.751530268456374,21.816859395973154
18.0,USER_16,NewMedia12,6413,689,1263,815,1834,1558,1325,1851,15748,0.4268073825503356,0.2249010067114094,21.96496422818792,22.04581932885906
19.0,USER_16,NewMedia12,19857,2721,1678,2580,1301,925,997,8063,38122,0.7052134013605442,0.39822843537414965,21.61828074829932,21.256428231292517
20.0,USER_16,NewMedia12,14161,5956,4777,4251,3552,803,700,3813,38013,0.7630268456375839,0.74185,22.22670174496644,21.574206979865775
21.0,USER_16,NewMedia12,6448,1509,885,1495,2503,748,608,3306,17502,0.23672433333333334,0.6846854,22.093794199999998,21.023398266666668
22.0,USER_16,NewMedia12,255976,11945,4060,2670,2319,1172,1058,51752,330952,0.4785181208053691,0.6801162416107382,19.94032134228188,21.196338187919462
23.0,USER_16,NewMedia12,247568,8951,6843,12187,9255,1920,874,39136,326734,0.4858197945205479,0.9808472602739726,21.508094520547942,21.63908506849315
24.0,USER_16,NewMedia12,141436,38773,3333,11208,5127,2272,759,38879,241787,0.5843575172413793,0.4782551724137932,22.939789724137928,22.288007310344828
25.0,USER_16,NewMedia12,52779,7140,800,3060,3553,624,828,17702,86486,0.5450788,0.42116473333333326,21.469422866666665,21.87494493333333
