time,user_id,media_name,delta,beta1,beta2,totalPower,attention,meditation,FPOGX
4.9,USER_20,NewMedia21,975505,8951,3779,1055904, NA, NA,0.73393
5.9,USER_20,NewMedia21,79763,12672,6040,205491, NA, NA,0.45772
7.0,USER_20,NewMedia21,6461,1593,1629,22764, NA, NA,0.35285
7.9,USER_20,NewMedia21,500712,17431,8687,555850, 51, 54,0.45673
8.9,USER_20,NewMedia21,573386,1624,2883,619803, 47, 78,0.3156
9.9,USER_20,NewMedia21,487783,3654,2415,520893, 44, 100,0.33049
11.0,USER_20,NewMedia21,1024788,37785,17510,1215156, 44, 100,0.37932
12.0,USER_20,NewMedia21,107037,3829,3823,147718, 34, 100,0.65656
12.9,USER_20,NewMedia21,2008004,18845,20376,2650081, 23, 88,0.36954
13.9,USER_20,NewMedia21,214620,8165,1171,265236, 11, 81,0.34109
14.9,USER_20,NewMedia21,4349,825,1637,15285, 17, 83,0.52233
15.9,USER_20,NewMedia21,47921,9425,2648,114520, 8, 93,0.4993
16.9,USER_20,NewMedia21,2568099,104865,15877,3257557, 7, 100,0.3615
18.0,USER_20,NewMedia21,105002,12345,2547,288126, 3, 83,0.46202
18.9,USER_20,NewMedia21,1437969,51700,46393,2075276, 1, 66,0.15283
19.9,USER_20,NewMedia21,65565,2393,2205,81376, 14, 60,0.12941
21.0,USER_20,NewMedia21,81798,2708,1592,140717, 20, 66,0.46917
22.0,USER_20,NewMedia21,8874,871,2523,37238, 40, 81,0.63113
22.9,USER_20,NewMedia21,195660,18844,2041,278745, 29, 81,0.64319
23.9,USER_20,NewMedia21,77547,2035,2487,103366, 23, 78,0.65938
25.0,USER_20,NewMedia21,2484,2683,689,17819, 30, 64,0.49713
25.9,USER_20,NewMedia21,9397,873,1078,19753, 37, 75,0.43964
26.9,USER_20,NewMedia21,196890,16287,4565,355027, 35, 53,0.62364
27.9,USER_20,NewMedia21,373472,21609,12942,504681, 37, 61,0.34575
