time,MEDIA_ID,delta,FPOGX
5.0,,0.02899,0.62963
6.0,,0.00443,0.53703
7.0,,0.17339,0.0
8.0,,0.10808,0.32677
9.0,,0.02631,0.10768
10.0,,0.08427,0.53153
11.0,,0.04672,0.89149
12.0,,0.03333,0.51601
13.0,,0.00942,0.52451
14.0,,0.03694,0.91103
15.0,,0.3996,0.73981
16.0,,0.52167,0.63565
17.0,,0.01135,0.87581
18.0,,0.01419,0.8714
19.0,,0.22366,0.86502
20.0,,0.00947,0.43323
21.0,,0.02878,0.32343
22.0,,0.2985,0.26802
23.0,,0.02431,0.30279
24.0,,0.00164,0.28858
25.0,,0.01911,0.37505
26.0,,0.00228,0.40163
27.0,,0.00661,0.25572
28.0,,0.30211,0.4808
29.0,,0.19224,0.24482
30.0,,0.0124,0.26079
31.0,,0.02796,0.33157
32.0,,0.0003,0.44822
33.0,,0.00417,0.73124
34.0,,0.00302,0.46537
35.0,,0.00081,0.76107
36.0,,0.02039,0.24251
37.0,,0.00149,0.24852
38.0,,0.00104,0.36947
39.0,,0.00766,0.45022
40.0,,0.06558,0.69896
41.0,,0.00596,0.32538
42.0,,0.00548,0.4651
43.0,,0.00625,0.70634
44.0,,0.00543,0.37193
45.0,,0.00325,0.40688
46.0,,0.061,0.62482
47.0,,0.01734,0.39213
48.0,,0.0109,0.50071
49.0,,0.00179,0.36509
50.0,,1.0,0.5001
51.0,,0.22729,0.42813
52.0,,0.01422,0.27164
53.0,,0.01031,0.38064
54.0,,0.02863,0.29404
55.0,,0.00859,0.42066
56.0,,0.00883,0.0
57.0,,0.05271,0.37814
58.0,,0.11376,0.36456
59.0,,0.00491,0.75525
60.0,,0.00291,0.35104
61.0,,0.00075,0.60872
62.0,,0.02794,0.24934
63.0,,0.01864,0.33673
64.0,,0.00051,0.72227
65.0,,0.00392,0.71604
66.0,,0.00271,0.45083
67.0,,0.03865,0.41159
68.0,,0.00108,0.51648
69.0,,0.00514,0.25042
70.0,,0.00066,0.56796
71.0,,0.01309,0.27255
72.0,,0.04528,0.5901
73.0,,2e-05,0.36332
74.0,,0.00851,0.65517
75.0,,0.32745,0.6142
76.0,,0.00448,0.3228
77.0,,0.02861,0.374
78.0,,0.00132,0.40999
79.0,,0.04157,0.23439
80.0,,0.04743,0.5
81.0,,0.17347,0.58663
82.0,,0.22568,0.0
83.0,,0.62879,0.34961
84.0,,0.54903,0.3449
85.0,,0.19324,0.53114
86.0,,0.07444,0.47106
87.0,,0.06202,0.40124
88.0,,0.00729,0.41911
89.0,,0.00325,0.49459
90.0,,0.00459,0.87907
91.0,,0.00572,0.44022
92.0,,0.28731,0.44625
93.0,,0.02081,0.41764
94.0,,0.00314,0.53799
95.0,,0.02725,0.38043
98.0,,0.00358,0.5653
99.0,,0.08091,0.15907
100.0,,0.10513,0.52491
101.0,,0.05698,0.54655
102.0,,0.02316,0.63099
103.0,,0.02054,0.23011
104.0,,0.02244,0.48288
105.0,,0.00216,0.64769
106.0,,0.01929,0.21805
107.0,,0.10739,0.23173
108.0,,0.23035,0.41231
109.0,,0.00274,0.37376
110.0,,0.00228,0.36908
111.0,,0.00155,0.37447
112.0,,0.01082,0.69022
113.0,,0.0049,0.2584
114.0,,0.02182,0.53642
115.0,,0.00116,0.4787
116.0,,0.00616,0.26359
117.0,,0.01483,0.38374
118.0,,0.18054,0.37347
119.0,,0.00672,0.35635
120.0,,0.00369,0.23719
121.0,,0.02283,0.24692
122.0,,0.00664,0.41584
123.0,,0.00176,0.42102
124.0,,0.00363,0.23648
125.0,,0.00577,0.3151
126.0,,0.00738,0.22786
127.0,,0.00236,0.44351
128.0,,0.00218,0.2213
129.0,,0.00216,0.43471
130.0,,0.00196,0.29547
131.0,,0.00952,0.38809
132.0,,0.01559,0.27255
133.0,,0.00758,0.42949
134.0,,0.02377,0.58936
135.0,,0.18464,0.69908
136.0,,0.00756,0.21462
137.0,,0.09101,0.38207
138.0,,0.13791,0.44595
139.0,,0.00589,0.2378
140.0,,0.06584,0.37087
141.0,,0.00278,0.41206
142.0,,0.14495,0.61113
143.0,,0.00657,0.37631
144.0,,0.19017,0.25833
145.0,,0.00015,0.0
146.0,,0.15172,0.3378
147.0,,0.02737,0.34631
148.0,,0.30425,0.33957
149.0,,0.00844,0.559
150.0,,0.47949,0.63178
151.0,,0.02375,0.39702
152.0,,0.32777,0.47272
153.0,,0.1017,0.32777
154.0,,0.0501,0.33727
155.0,,0.5887,0.36847
156.0,,0.29224,0.3411
157.0,,0.00966,0.3318
158.0,,0.43609,0.39607
159.0,,0.02611,0.31236
160.0,,0.00241,0.51839
161.0,,0.10394,0.27497
162.0,,0.07324,0.36324
163.0,,0.10159,0.45348
164.0,,0.00897,0.322
165.0,,0.03616,0.49882
166.0,,0.00221,0.40883
167.0,,0.00201,0.64296
168.0,,0.01104,0.66342
169.0,,0.00676,0.71665
170.0,,0.0002,0.65741
171.0,,0.00233,0.54256
172.0,,0.00246,0.5816
173.0,,0.00337,0.62001
174.0,,0.0011,0.74769
175.0,,0.00182,0.58468
176.0,,0.01852,0.64086
177.0,,0.00141,0.61049
178.0,,0.15727,0.62657
179.0,,0.0072,0.66452
180.0,,0.12374,0.63625
181.0,,0.00624,0.63009
182.0,,0.00099,0.66552
183.0,,0.00117,0.26659
184.0,,0.04807,0.43108
185.0,,0.00212,0.69328
186.0,,0.04615,0.72101
187.0,,0.00177,0.67838
188.0,,0.00586,0.39821
189.0,,0.0014,0.34523
190.0,,0.02609,0.62945
191.0,,0.00225,0.36937
192.0,,0.01805,0.68301
193.0,,0.00371,0.36651
194.0,,0.04378,0.31213
195.0,,0.10413,0.24058
196.0,,0.53558,0.65118
197.0,,0.0226,0.31012
198.0,,0.0376,0.41721
199.0,,0.09086,0.29162
200.0,,0.11041,0.6166
201.0,,0.14634,0.59267
202.0,,0.02163,0.56051
203.0,,0.22411,0.32889
204.0,,0.05305,0.33533
205.0,,0.0064,0.28219
206.0,,0.33587,0.39127
207.0,,0.26872,0.27603
208.0,,0.21146,0.30841
209.0,,0.03323,0.33995
210.0,,0.04098,0.37147
211.0,,0.00087,0.29878
212.0,,0.00456,0.40769
213.0,,0.07062,0.26664
214.0,,0.03727,0.2619
215.0,,0.0369,0.67317
216.0,,0.04111,0.34657
217.0,,0.04488,0.36342
218.0,,0.11077,0.32668
219.0,,0.02453,0.29235
220.0,,0.00823,0.34538
221.0,,0.13356,0.3381
222.0,,0.00449,0.27921
223.0,,0.00996,0.30649
224.0,,0.04047,0.30156
225.0,,0.00112,0.3298
226.0,,0.15459,0.43458
227.0,,0.05256,0.69075
228.0,,0.04115,0.25584
229.0,,0.03112,0.62956
230.0,,0.03152,0.3545
231.0,,0.01042,0.343
232.0,,0.03848,0.40722
233.0,,0.01295,0.3873
234.0,,0.00486,0.46712
235.0,,0.01277,0.69254
236.0,,0.12317,0.37161
237.0,,0.13262,0.64751
238.0,,0.00369,0.34748
239.0,,0.01689,0.32811
240.0,,0.08984,0.12523
241.0,,0.24783,0.13223
242.0,,0.12965,0.22739
243.0,,0.05511,0.39424
244.0,,0.32835,0.71901
245.0,,0.13248,0.8735
246.0,,0.13609,0.79368
247.0,,0.42219,0.44322
248.0,,0.15428,0.84864
249.0,,0.0223,0.20045
250.0,,0.15184,0.21815
251.0,,0.29301,0.11552
252.0,,0.59905,0.38788
253.0,,0.01092,0.72775
254.0,,0.00051,0.1126
255.0,,0.04687,0.42604
256.0,,0.11994,0.66999
257.0,,0.00767,0.83989
258.0,,0.00321,0.14763
259.0,,0.08822,0.45328
260.0,,0.09108,0.62441
261.0,,0.02487,0.79534
262.0,,0.02867,0.87788
263.0,,0.09505,0.64163
264.0,,0.00178,0.15486
265.0,,0.00271,0.40947
266.0,,0.00118,0.78866
267.0,,0.00262,0.1586
268.0,,0.00187,0.38606
269.0,,0.00214,0.75364
270.0,,0.06576,0.13802
271.0,,0.00238,0.19458
272.0,,0.05297,0.50319
273.0,,0.01073,0.87361
274.0,,0.00106,0.29199
275.0,,0.00141,0.74316
276.0,,8e-05,0.11796
277.0,,0.01352,0.54973
278.0,,0.00156,0.88037
279.0,,0.01726,0.18432
280.0,,0.01931,0.52373
281.0,,0.02684,0.56077
282.0,,0.00717,0.763
283.0,,0.00496,0.0802
284.0,,0.00207,0.42895
285.0,,0.00056,0.6846
286.0,,0.05026,0.15695
287.0,,0.00226,0.26194
288.0,,0.00129,0.2564
289.0,,0.00073,0.52941
290.0,,0.00182,0.80172
291.0,,0.0021,0.81075
292.0,,0.00382,0.21828
293.0,,0.0017,0.69732
294.0,,0.00612,0.33557
295.0,,0.02874,0.32979
296.0,,0.00072,0.3432
297.0,,0.00333,0.609
298.0,,0.00316,0.60018
299.0,,0.00132,0.229
300.0,,0.25186,0.27745
301.0,,0.13578,0.26458
302.0,,0.11074,0.30823
303.0,,0.02201,0.4932
304.0,,0.08502,0.56563
305.0,,0.50806,0.26553
306.0,,0.00091,0.56215
307.0,,0.00337,0.56866
308.0,,0.02842,0.45087
309.0,,0.00368,0.26288
310.0,,0.17295,0.32471
311.0,,0.02235,0.25157
312.0,,0.08012,0.42496
313.0,,0.04586,0.7
314.0,,0.013,0.349
315.0,,0.00128,0.31888
316.0,,0.0027,0.41254
317.0,,0.15305,0.55072
318.0,,0.00327,0.64927
319.0,,0.00165,0.23611
320.0,,0.00035,0.27622
321.0,,0.00078,0.4567
322.0,,0.01641,0.25847
323.0,,0.13093,0.31567
324.0,,0.00882,0.53647
325.0,,0.00084,0.33441
326.0,,0.00547,0.35616
327.0,,0.00439,0.32847
328.0,,0.00066,0.39915
329.0,,0.0015,0.67821
330.0,,0.00325,0.52507
331.0,,0.00274,0.32759
332.0,,0.01021,0.40674
333.0,,0.11388,0.44044
334.0,,0.0518,0.32069
335.0,,0.05597,0.57086
336.0,,0.01139,0.71197
337.0,,0.00343,0.37116
338.0,,0.00057,0.2957
339.0,,0.00529,0.68886
340.0,,0.02242,0.34462
341.0,,0.0047,0.26573
342.0,,0.00473,0.37973
343.0,,0.01702,0.50723
344.0,,0.00542,0.57607
