time,user_id,media_name,delta,alpha1,alpha2,beta1,beta2,gamma1,gamma2,theta,totalPower,FPOGX,FPOGY,FPOGD,RPD,LPD
5.0,USER_6,NewMedia10,138261,1641,4610,5305,1543,2130,1654,39881,195025,0.6189920134228188,0.5689509395973155,0.14294496644295301,16.992288724832214,18.802145503355703
5.9,USER_6,NewMedia10,491600,25923,10180,14420,8011,12279,12250,115766,690429,0.38655275167785236,0.6780151677852349,0.15050174496644295,16.525206375838927,18.903857046979862
6.9,USER_6,NewMedia10,11132,3845,5798,1132,2644,1319,1068,7161,34099,0.3925828859060403,0.5621912751677852,0.13535402684563758,17.313308389261746,19.37298979865772
7.9,USER_6,NewMedia10,1212,1125,641,2007,2597,734,1651,2508,12475,0.532310472972973,0.43506831081081077,0.18538209459459462,17.682576351351354,19.078167770270273
8.9,USER_6,NewMedia10,5569,1596,1950,645,2140,1337,986,451,14674,0.4840766,0.3769368,0.280941,17.702967866666665,18.581406866666665
9.9,USER_6,NewMedia10,10337,3486,1934,2805,3533,1452,2851,6975,33373,0.5020387162162162,0.34290236486486486,0.47578918918918917,15.667774932432431,17.460901756756755
10.9,USER_6,NewMedia12,4824,1520,1655,1397,2482,3124,2199,8094,25295,0.4319948484848485,0.34040070707070713,0.35819136363636367,15.883041313131312,17.546236666666665
12.0,USER_6,NewMedia12,5250,751,3326,3178,2539,753,1748,14955,32500,0.5010618791946309,0.313813422818792,0.13861939597315437,15.007502751677855,17.603687919463084
12.9,USER_6,NewMedia12,11337,3786,3680,1870,1211,1576,894,5030,29384,0.5539504026845637,0.45807100671140943,0.14469060402684564,14.877561275167784,16.638142147651003
13.9,USER_6,NewMedia12,572080,1497,6887,6262,14352,11176,3450,56283,671987,0.7050611333333334,0.5326532666666666,0.16024446666666667,15.275580533333333,17.42993693333333
14.9,USER_6,NewMedia12,5527,1778,1802,1455,1110,2406,896,8176,23150,0.36767161073825505,0.6699409395973155,0.15764751677852348,15.523267583892618,16.976510067114095
16.0,USER_6,NewMedia12,776986,4035,12101,2855,14529,6750,2028,27152,846436,0.5356558389261745,0.3723444966442953,0.1657499328859061,15.840662684563757,17.407593154362416
16.9,USER_6,NewMedia12,16188,1023,2248,2332,4104,3181,774,5182,35032,0.4873722,0.6029178,0.15636433333333333,16.14551726666667,18.344835466666662
17.9,USER_6,NewMedia12,7776,2608,4423,1834,3004,2096,1081,10573,33395,0.370813288590604,0.2833912751677853,0.1231534899328859,15.589604161073826,18.022643691275167
18.9,USER_6,NewMedia12,110838,14625,4381,6815,6921,3844,1850,77324,226598,0.5979522818791946,0.5239719463087248,0.1351051677852349,14.529770671140941,16.982744832214763
19.9,USER_6,NewMedia12,15590,2368,7572,5017,3534,1862,1149,16963,54055,0.4178175838926175,0.6143340939597316,0.1686603355704698,15.614860805369126,17.123442953020135
