time,user_id,media_name,delta,alpha1,alpha2,beta1,beta2,totalPower,attention,meditation,FPOGX
3.9,USER_9,NewMedia11,88503,13744,24080,7903,4605,241118, NA, NA,0.54945
4.9,USER_9,NewMedia11,15880,7763,2945,3247,3330,67941, NA, NA,0.65111
5.9,USER_9,NewMedia11,115257,1643,1638,2013,508,136276, NA, NA,0.34773
6.9,USER_9,NewMedia11,18912,4008,2832,2709,3314,38106, 53, 51,0.39681
7.9,USER_9,NewMedia11,734799,33685,12786,15400,21604,893707, 63, 60,0.58645
8.9,USER_9,NewMedia11,49464,4950,10813,5401,3730,131016, 60, 56,0.86311
9.9,USER_9,NewMedia11,39364,8979,5726,2962,1673,68125, 63, 80,0.50855
10.9,USER_9,NewMedia11,30881,6895,3690,3978,2283,65587, 51, 75,0.42591
11.9,USER_9,NewMedia11,6271,7985,3660,6280,2112,45446, 44, 75,0.65143
12.9,USER_9,NewMedia11,100376,5893,2801,2409,4987,162648, 50, 69,0.46236
13.9,USER_9,NewMedia11,316044,44591,10225,29557,10291,623971, 41, 41,0.85915
14.9,USER_9,NewMedia11,51889,5051,5230,1737,1861,116770, 30, 27,0.38088
15.9,USER_9,NewMedia11,331068,85217,56281,75190,12349,747245, 24, 29,0.55014
16.9,USER_9,NewMedia11,703582,2303,2707,3684,2729,748616, 23, 24,0.22299
17.9,USER_9,NewMedia11,13937,2553,2260,4907,3706,47034, 38, 24,0.57387
18.9,USER_9,NewMedia16,1303425,12011,16100,4100,8763,1436777, 47, 29,0.29624
19.9,USER_9,NewMedia16,53277,11369,4266,9530,4796,100991, 60, 30,0.66799
20.9,USER_9,NewMedia16,9325,4216,4405,5644,4048,56110, 63, 40,0.40084
21.9,USER_9,NewMedia16,412586,6130,39236,10952,14246,671057, 51, 40,0.69196
22.9,USER_9,NewMedia16,646916,2492,27929,1777,3777,728062, 50, 56,0.57078
23.9,USER_9,NewMedia16,23864,544,6465,4133,2434,47387, 50, 54,0.56207
24.9,USER_9,NewMedia16,18550,3858,1407,3544,1236,43683, 44, 57,0.57291
25.9,USER_9,NewMedia16,9543,2317,1666,1404,2928,35953, 54, 57,0.40971
26.9,USER_9,NewMedia16,2980,3984,7291,2064,2947,27334, 64, 66,0.32927
27.9,USER_9,NewMedia16,7118,12012,3608,2825,2719,34888, 63, 81,0.79169
28.9,USER_9,NewMedia16,71565,3316,5635,3148,1367,99718, 63, 88,0.38847
29.9,USER_9,NewMedia16,43364,22443,13724,10565,5421,142574, 54, 100,0.572
30.9,USER_9,NewMedia16,17556,1184,2491,4500,2915,64206, 47, 61,0.57252
31.9,USER_9,NewMedia16,7805,3394,3763,3696,3144,31704, 53, 47,0.55993
32.9,USER_9,NewMedia16,3850,9303,827,951,2912,27186, 64, 61,0.471
