,MEDIA_ID,MEDIA_NAME,CNT,TIME(2022/03/16 10:28:52.174),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,AOI,Unnamed: 32
0,10,NewMedia11,0,0.0,750400250112,0.5675,0.18244,0.0,0.0,1,1,0.56077,0.2214,1,1.38177,0.13426,0,,0.43299,0.61504,22.47401,1.02709,1,0.68763,0.63538,21.52083,1.01948,1,0,0.0,16,,
15,10,NewMedia11,15,0.09988,750401248978,0.49661,0.36609,0.0798,0.02008,2,1,0.49359,0.388,1,1.38177,0.13426,0,,0.42882,0.61868,22.11006,1.03703,1,0.68313,0.63738,20.76674,1.02086,1,0,0.0,16,,
30,10,NewMedia11,30,0.20053,750402255560,0.49035,0.32846,0.0798,0.12073,2,1,0.48659,0.30488,1,1.38177,0.13426,0,,0.42715,0.6188,22.25385,1.05225,1,0.68179,0.63691,21.10104,1.06081,1,0,0.0,16,,
45,10,NewMedia11,45,0.30087,750403258879,0.48915,0.33288,0.0798,0.22107,2,1,0.50175,0.36175,1,1.38177,0.13426,0,,0.42592,0.61889,22.06498,1.03515,1,0.68093,0.63666,20.53325,1.02754,1,0,0.0,16,,
60,10,NewMedia11,60,0.40146,750404264811,0.32473,0.3494,0.38126,0.0202,3,1,0.32248,0.34991,1,1.375,0.1,0,,0.42004,0.61903,21.46375,1.04143,1,0.67455,0.63626,20.63727,1.03382,1,0,0.0,16,,
75,10,NewMedia11,75,0.50198,750405270198,0.31952,0.34874,0.38126,0.12073,3,1,0.3786,0.44807,1,1.37448,0.075,0,,0.42212,0.6193,20.39567,1.05227,1,0.67626,0.63621,18.66779,1.06844,1,0,0.0,16,,
90,10,NewMedia11,90,0.60245,750406274717,0.39051,0.48622,0.5621,0.04034,4,1,0.38819,0.45517,1,1.37396,0.075,0,,0.42357,0.61832,19.09374,1.04143,1,0.6775,0.63543,17.68761,1.04903,1,0,0.0,16,,
105,10,NewMedia11,105,0.70288,750407279152,0.43852,0.42272,0.66925,0.03363,5,1,0.45284,0.40845,1,1.37396,0.075,0,,0.42637,0.61767,17.78617,1.09805,1,0.67995,0.63568,17.68497,1.09805,1,0,0.0,16,,
120,10,NewMedia11,120,0.8035,750408285242,0.44773,0.42742,0.66925,0.13425,5,1,0.44906,0.4165,1,1.37396,0.075,0,,0.42698,0.61762,17.99634,1.089,1,0.68067,0.63556,17.28452,1.09756,1,0,0.0,16,,
135,10,NewMedia11,135,0.90485,750409298843,0.54172,0.45157,0.85037,0.05447,6,1,0.53811,0.49245,1,1.37396,0.075,0,,0.4303,0.61551,17.95263,1.0486,1,0.68377,0.63413,17.76388,1.04099,1,0,0.0,16,,
150,10,NewMedia11,150,1.00455,750410295853,0.54719,0.45636,0.85037,0.15417,6,1,0.59677,0.44899,1,1.37396,0.075,0,,0.43243,0.61404,17.84925,1.08087,1,0.68562,0.63268,16.94361,1.08848,1,0,0.0,16,,
165,10,NewMedia11,165,1.10474,750411297753,0.60925,0.46288,1.03781,0.06693,7,1,0.61882,0.48816,1,1.37396,0.075,0,,0.43372,0.61231,18.02315,1.07188,1,0.68685,0.63158,16.72774,1.07188,1,0,0.0,16,,
180,10,NewMedia11,180,1.20541,750412304433,0.61115,0.46694,1.03781,0.1676,7,1,0.62654,0.45857,1,1.37396,0.075,0,,0.43557,0.61081,17.14711,1.06572,1,0.68823,0.63105,16.10129,1.08188,1,0,0.0,16,,
