,MEDIA_ID,MEDIA_NAME,CNT,TIME(2022/04/04 14:09:56.430),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,AOI,Unnamed: 32
0,8,NewMedia9,0,0.0,154120340517,0.56393,0.37646,0.0,0.0,1,1,0.56178,0.42959,1,1.3724,0.13704,0,,0.41935,0.50604,26.67027,1.06241,1,0.66471,0.50451,29.27615,1.06241,1,0,0.0,12,,
15,8,NewMedia9,15,0.10034,154121344876,0.53722,0.27651,0.08057,0.01978,2,1,0.53377,0.24806,1,1.3724,0.13704,0,,0.41917,0.50177,25.5862,1.07069,1,0.66399,0.50087,28.79647,1.07896,1,0,0.0,12,,
30,8,NewMedia9,30,0.20093,154122350389,0.52968,0.25429,0.08057,0.12036,2,1,0.51708,0.21537,1,1.3724,0.13704,0,,0.41858,0.50185,24.96473,1.10389,1,0.66368,0.50088,28.72239,1.09562,1,0,0.0,12,,
45,8,NewMedia9,45,0.30164,154123356809,0.52824,0.24207,0.08057,0.22107,2,1,0.5287,0.21544,1,1.3724,0.13704,0,,0.41761,0.50212,24.6031,1.06241,1,0.66303,0.50098,28.2405,1.06241,1,0,0.0,12,,
60,8,NewMedia9,60,0.40186,154124359095,0.52889,0.24359,0.08057,0.32129,2,1,0.5386,0.24377,1,1.3724,0.13704,0,,0.4172,0.50215,23.52699,1.06241,1,0.66254,0.50031,25.99718,1.06241,1,0,0.0,12,,
75,8,NewMedia9,75,0.50232,154125363791,0.53302,0.23855,0.08057,0.42175,2,1,0.60018,0.21809,1,1.3724,0.13704,0,,0.42007,0.50196,22.89955,1.07907,1,0.6655,0.50057,24.31343,1.07907,1,0,0.0,12,,
90,8,NewMedia9,90,0.60339,154126374273,0.6043,0.21667,0.52917,0.07422,3,1,0.62271,0.2028,1,1.3724,0.13704,0,,0.42005,0.50239,21.46196,1.07907,1,0.66515,0.50104,23.62721,1.07907,1,0,0.0,12,,
105,8,NewMedia9,105,0.70337,154127374624,0.42078,0.15109,0.52917,0.1543,3,0,0.33474,0.09236,1,1.3724,0.15463,0,,0.4105,0.49957,18.99465,0.99749,1,0.65488,0.49865,22.83303,1.00484,1,0,0.0,12,,
120,8,NewMedia9,120,0.80371,154128378201,0.33872,0.0765,0.71008,0.09363,4,1,0.33453,0.09432,1,1.3724,0.15833,0,,0.40978,0.50005,18.13632,1.0122,1,0.65419,0.49854,21.72784,1.00484,1,0,0.0,12,,
135,8,NewMedia9,135,0.90442,154129385388,0.34066,0.08481,0.71008,0.19434,4,1,0.3543,0.08701,1,1.37344,0.21667,0,,0.40875,0.50033,17.69534,1.0122,1,0.65311,0.49831,21.51505,1.00484,1,0,0.0,12,,
150,8,NewMedia9,150,1.00476,154130388326,0.33883,0.09096,0.71008,0.29468,4,1,0.33769,0.08494,1,1.37448,0.23241,0,,0.40723,0.50086,17.52614,1.05026,1,0.65168,0.49883,20.88208,1.03464,1,0,0.0,12,,
165,8,NewMedia9,165,1.10535,154131394511,0.28016,0.13756,1.03162,0.07373,5,1,0.27522,0.15517,1,1.375,0.24537,0,,0.40336,0.50198,17.02672,0.99749,1,0.64793,0.4991,20.18057,1.00484,1,0,0.0,12,,
180,8,NewMedia9,180,1.20581,154132399147,0.27617,0.13658,1.03162,0.17419,5,1,0.27454,0.13882,1,1.38177,0.27593,0,,0.40232,0.50188,17.01627,1.0063,1,0.64712,0.49896,19.67502,1.0063,1,0,0.0,12,,
195,8,NewMedia9,195,1.30615,154133402006,0.36138,0.11446,1.25916,0.047,6,1,0.36638,0.11336,1,1.38385,0.28611,0,,0.4049,0.50194,17.2732,1.00339,1,0.64963,0.49851,19.95761,1.00339,1,0,0.0,12,,
210,8,NewMedia9,210,1.40662,154134406593,0.37233,0.05745,1.25916,0.13416,6,0,0.37228,0.05949,1,1.38385,0.29167,0,,0.40487,0.50255,17.16669,1.06507,1,0.64969,0.49843,18.42653,1.04944,1,0,0.0,12,,
225,8,NewMedia9,225,1.50745,154135415123,0.39092,0.09085,1.40002,0.10742,7,1,0.41767,0.09329,1,1.38437,0.32222,0,,0.40787,0.50262,16.66552,1.01819,1,0.65246,0.49885,18.30569,1.01819,1,0,0.0,12,,
240,8,NewMedia9,240,1.60779,154136418427,0.4407,0.04065,1.54089,0.06689,8,1,0.53816,0.05054,1,1.38437,0.32222,0,,0.41141,0.50273,16.72775,1.04025,1,0.65661,0.49906,18.19893,1.0329,1,0,0.0,12,,
255,8,NewMedia9,255,1.70862,154137426568,0.59825,0.05262,1.64771,0.06091,9,1,0.59996,0.07896,1,1.38437,0.32315,0,,0.41445,0.5029,16.99235,0.99846,1,0.65934,0.49929,18.18537,1.00504,1,0,0.0,12,,
270,8,NewMedia9,270,1.80859,154138426737,0.58928,0.06681,1.64771,0.16089,9,1,0.49529,0.28379,1,1.38437,0.32315,0,,0.41216,0.50712,18.48355,1.07172,1,0.65589,0.5038,20.28978,1.06437,1,0,0.0,12,,
285,8,NewMedia9,285,1.90906,154139431549,0.4488,0.48071,1.84253,0.06653,10,1,0.45883,0.46176,1,1.38437,0.32315,0,,0.41056,0.50952,18.54074,1.05588,1,0.65481,0.50591,19.50661,1.06415,1,0,0.0,12,,
300,8,NewMedia9,300,2.00952,154140435999,0.4425,0.52275,1.84253,0.16028,10,0,0.40236,0.62329,1,1.38437,0.32315,0,,0.40838,0.51255,18.04359,1.04221,1,0.65248,0.50884,19.58467,1.04956,1,0,0.0,12,,
315,8,NewMedia9,315,2.11011,154141441796,0.40407,0.61882,2.02954,0.08057,11,1,0.34636,0.57261,1,1.38437,0.32315,0,,0.40617,0.51308,18.08783,1.11319,1,0.65072,0.50877,19.95557,1.09757,1,0,0.0,12,,
330,8,NewMedia9,330,2.21045,154142444904,0.31368,0.56939,2.13672,0.07373,12,1,0.30544,0.55801,1,1.38437,0.32315,0,,0.40461,0.51278,18.46135,1.05588,1,0.64895,0.50836,20.52859,1.06415,1,0,0.0,12,,
345,8,NewMedia9,345,2.3114,154143454973,0.38071,0.56778,2.13672,0.16748,12,0,0.5724,0.59072,1,1.38437,0.32315,0,,0.41177,0.51348,19.56416,1.05026,1,0.65673,0.50996,21.26817,1.03464,1,0,0.0,12,,
360,8,NewMedia9,360,2.41138,154144455033,0.57256,0.55349,2.33118,0.0802,13,1,0.58052,0.54825,1,1.38437,0.32315,0,,0.41335,0.51403,19.08535,1.08734,1,0.65839,0.51025,19.80122,1.09562,1,0,0.0,12,,
375,8,NewMedia9,375,2.51208,154145461190,0.58093,0.5385,2.33118,0.18091,13,1,0.58152,0.54436,1,1.38437,0.32315,0,,0.41404,0.51487,18.79007,1.09573,1,0.65902,0.51132,20.08421,1.09573,1,0,0.0,12,,
390,8,NewMedia9,390,2.6123,154146464059,0.67764,0.53524,2.53857,0.07373,14,1,0.67432,0.52961,1,1.38437,0.32315,0,,0.41645,0.51529,19.44699,1.10389,1,0.66144,0.51168,20.56494,1.09562,1,0,0.0,12,,
405,8,NewMedia9,405,2.71326,154147473564,0.67199,0.54168,2.53857,0.17468,14,1,0.66735,0.56777,1,1.38437,0.32315,0,,0.41639,0.51452,19.87555,1.08723,1,0.66141,0.51113,22.13564,1.07896,1,0,0.0,12,,
420,8,NewMedia9,420,2.81348,154148475292,0.44979,0.57516,2.78662,0.02686,15,1,0.44766,0.60703,1,1.38437,0.32315,0,,0.40964,0.51303,18.7429,1.00339,1,0.65484,0.50918,21.69597,1.00339,1,0,0.0,12,,
435,8,NewMedia9,435,2.91394,154149480270,0.4538,0.57397,2.78662,0.12732,15,1,0.44788,0.53341,1,1.38437,0.32315,0,,0.40924,0.5129,19.09225,1.09573,1,0.65486,0.50911,22.05598,1.09573,1,0,0.0,12,,
450,8,NewMedia9,450,3.01477,154150488478,0.47849,0.38032,2.78662,0.21448,15,0,0.48773,0.23319,1,1.38437,0.32315,0,,0.40979,0.50781,20.63203,1.04863,1,0.65475,0.50308,23.69416,1.06425,1,0,0.0,12,,
