ID,USER_1,USER_2,USER_3,USER_4,USER_5,USER_6,USER_7,USER_8,USER_9,USER_10,USER_11,USER_12,USER_13,USER_14,USER_15,USER_16,USER_17,USER_18,USER_19,USER_20,USER_21,USER_22,USER_23,USER_24,USER_27,USER_28,USER_29,USER_31,USER_32,USER_33,USER_34,USER_35,USER_36,USER_37,USER_38,USER_39,USER_40,USER_41,USER_42,USER_43,USER_44,USER_45,USER_46,USER_47,USER_48,USER_49
1,a,d,a,b,a,a,b,a,c,a,b,d,c,d,a,d,a,d,a,b,c,b,b,a,a,a,d,d,a,a,b,b,d,a,a,a,b,b,b,b,a,b,b,d,c,a
2,b,d,b,c,b,d,d,a,b,c,b,a,b,b,c,b,a,b,c,b,b,d,d,b,b,a,b,a,b,b,c,c,a,b,a,c,d,c,b,b,d,c,b,c,d,c
3,d,c,d,a,b,b,a,b,c,d,d,b,b,b,b,b,b,d,b,b,a,c,b,a,b,c,b,d,d,b,d,b,c,a,a,a,c,d,d,c,b,d,b,a,b,a
4,a,a,a,b,b,b,a,a,a,a,d,a,a,d,b,d,a,a,a,c,a,c,b,a,b,a,d,c,c,a,b,c,c,b,b,b,a,a,d,a,a,a,d,a,a,b
5,b,a,b,b,b,a,d,d,b,a,d,a,b,b,a,b,c,a,c,a,a,b,a,a,b,b,b,d,a,b,a,a,b,a,c,a,d,b,a,b,a,a,d,b,a,b
6,b,b,b,b,d,d,c,a,d,a,d,a,b,a,c,b,a,a,a,b,a,c,b,b,b,a,b,b,b,b,b,a,b,d,b,b,a,c,a,b,a,b,a,a,a,b
7,c,b,a,a,a,b,a,c,c,a,c,b,b,a,b,c,a,c,b,c,b,b,b,b,b,d,b,a,c,d,b,d,d,a,d,b,c,a,d,a,b,c,a,a,b,a
8,d,d,d,a,d,d,d,b,c,b,a,b,b,b,a,d,d,c,b,a,b,b,a,b,b,a,d,b,d,c,a,b,a,d,a,a,d,b,b,c,d,a,c,b,a,c
9,c,d,b,b,b,b,b,a,d,c,a,c,d,d,b,b,b,a,d,a,c,d,b,a,a,d,b,a,a,b,c,a,a,c,a,b,a,d,b,d,a,b,a,a,a,
10,b,b,b,a,d,a,c,b,b,b,c,a,a,c,a,b,c,a,b,b,d,c,b,c,d,b,b,c,b,b,b,d,a,d,b,a,a,d,b,b,a,c,d,b,a,
11,a,c,d,b,b,a,b,b,b,c,b,c,d,c,d,b,d,a,a,d,d,c,b,c,d,c,a,a,b,b,b,b,b,a,a,a,b,a,a,b,c,d,a,b,a,
12,b,b,b,a,a,b,a,c,c,b,d,b,a,b,b,b,b,b,d,b,d,b,c,c,c,c,b,a,b,c,a,b,b,b,c,a,d,d,c,d,c,b,b,c,b,
13,a,a,d,d,d,a,b,b,d,a,d,c,c,c,d,d,d,b,b,d,a,b,b,b,a,b,b,a,c,b,a,b,b,d,c,a,c,a,b,c,b,d,c,a,b,
14,b,b,a,a,a,b,b,a,b,d,b,a,b,b,b,c,b,d,d,d,a,b,d,b,a,b,b,c,d,a,a,d,a,d,a,d,a,b,b,b,d,a,c,b,b,
15,a,a,a,d,b,b,b,d,a,b,a,a,b,c,b,a,a,d,a,b,a,b,b,b,b,d,a,d,d,d,b,c,b,d,b,b,b,a,b,b,a,d,c,d,b,
16,b,b,a,d,b,b,b,d,a,a,c,b,b,a,b,b,a,b,b,a,a,c,d,b,b,c,a,a,b,a,d,b,a,a,d,b,c,d,b,a,a,a,b,a,d,
17,b,a,c,b,a,b,b,b,d,c,b,c,a,d,b,b,c,a,b,b,c,b,c,d,a,b,b,a,b,a,b,a,b,a,b,b,a,a,a,b,d,d,b,b,b,
18,b,d,b,b,a,a,c,c,d,b,a,b,b,c,b,b,d,c,d,a,d,b,a,d,d,a,a,b,b,a,b,b,a,b,a,c,b,a,c,b,b,b,a,d,d,
19,a,d,a,b,b,b,b,c,b,d,b,b,b,b,d,c,b,b,c,c,d,a,a,d,a,b,d,b,d,a,b,b,a,b,a,b,c,c,a,b,b,a,a,b,c,
20,b,a,b,a,d,a,b,b,a,b,a,b,d,d,a,a,a,a,b,d,a,b,d,b,d,b,b,a,a,b,b,a,b,b,b,c,b,c,b,c,d,a,b,b,b,
21,d,b,a,c,b,c,b,d,d,c,a,a,b,c,a,a,a,b,b,b,a,b,b,b,c,a,b,b,a,c,d,b,d,b,a,c,a,d,b,d,b,c,a,c,b,
22,a,c,d,d,c,b,b,a,b,c,a,b,d,a,d,b,b,b,a,a,c,a,a,c,a,d,d,a,b,d,a,a,a,a,b,c,b,b,d,a,c,b,b,b,a,
23,c,c,a,b,b,a,d,a,a,a,b,c,c,b,b,b,a,b,b,c,a,d,d,a,b,b,a,c,b,d,b,b,a,c,c,d,b,a,b,b,b,b,b,c,a,
24,a,b,b,b,b,d,a,b,b,b,b,b,a,c,b,a,b,a,d,a,d,a,a,a,c,a,b,d,b,b,a,b,b,a,d,b,b,d,b,c,b,b,a,c,a,
