ID,MEDIA_NAME,TOTAL,RIGHT,WRONG,AVERAGE_TIME
1,NewMedia1,48,18,30,54.684446875
2,NewMedia2,48,29,19,44.93874916666667
3,NewMedia3,48,26,22,45.60854229166669
4,NewMedia4,48,44,4,63.24838166666666
5,NewMedia5,48,32,16,65.76728291666666
6,NewMedia6,48,36,12,91.45787000000003
7,NewMedia7,48,33,15,63.09084333333333
8,NewMedia8,48,26,22,81.97773499999998
9,NewMedia9,48,36,12,80.64896999999999
10,NewMedia10,48,1,47,57.688643541666664
11,NewMedia11,48,36,12,58.699021875
12,NewMedia12,48,44,4,30.267458333333337
13,NewMedia13,48,44,4,56.35278979166667
14,NewMedia14,48,34,14,63.988542500000015
15,NewMedia15,48,30,18,43.527108125000005
16,NewMedia16,48,45,3,20.23506333333333
17,NewMedia17,48,39,9,27.704766250000002
18,NewMedia18,48,30,18,55.80008145833333
19,NewMedia19,48,34,14,60.295415833333315
20,NewMedia20,48,37,11,52.03897291666667
21,NewMedia21,48,34,14,49.228123333333336
22,NewMedia22,48,39,9,93.59117937500001
23,NewMedia23,48,31,17,110.3937141666667
24,NewMedia24,48,43,5,84.9799275
